DataFile,method,metric,acceleration
../../DistanceBenchmarking/Real/HSC/matrix.mtx,CPU,pearson,17.28053694
../../DistanceBenchmarking/Real/HSC/matrix.mtx,CPU,pearson,0.000935884
../../DistanceBenchmarking/Real/HSC/matrix.mtx,CPU,pearson,0.104236945
../../DistanceBenchmarking/Real/HSC/matrix.mtx,CPU,pearson,17.28053694
../../DistanceBenchmarking/Real/HSC/matrix.mtx,GPU,pearson,0.006322588
../../DistanceBenchmarking/Real/HSC/matrix.mtx,GPU,pearson,0.016386124
../../DistanceBenchmarking/Real/HSC/matrix.mtx,GPU,pearson,1
../../DistanceBenchmarking/Real/FibroCardRNASeq/snRNA_Heart_counts_matrix.mtx,amap,euclidean,0.007564826
../../DistanceBenchmarking/Real/FibroCardRNASeq/snRNA_Heart_counts_matrix.mtx,amap,euclidean,1.272387595
../../DistanceBenchmarking/Real/FibroCardRNASeq/snRNA_Heart_counts_matrix.mtx,factoextra,euclidean,6.814039893
../../DistanceBenchmarking/Real/FibroCardRNASeq/snRNA_Heart_counts_matrix.mtx,factoextra,euclidean,96.43009219
../../DistanceBenchmarking/Real/FibroCardRNASeq/snRNA_Heart_counts_matrix.mtx,CPU,euclidean,0.007297527
../../DistanceBenchmarking/Real/FibroCardRNASeq/snRNA_Heart_counts_matrix.mtx,CPU,euclidean,0.736523825
../../DistanceBenchmarking/Real/FibroCardRNASeq/snRNA_Heart_counts_matrix.mtx,CPU,euclidean,0.007297527
../../DistanceBenchmarking/Real/FibroCardRNASeq/snRNA_Heart_counts_matrix.mtx,CPU,euclidean,0.736523825
../../DistanceBenchmarking/Real/FibroCardRNASeq/snRNA_Heart_counts_matrix.mtx,GPU,euclidean,0.008889929
../../DistanceBenchmarking/Real/FibroCardRNASeq/snRNA_Heart_counts_matrix.mtx,GPU,euclidean,0.040643906
../../DistanceBenchmarking/Real/FibroCardRNASeq/snRNA_Heart_counts_matrix.mtx,GPU,euclidean,1
../../DistanceBenchmarking/Real/FibroCardRNASeq/snRNA_Heart_counts_matrix.mtx,amap,pearson,0.001563985
../../DistanceBenchmarking/Real/FibroCardRNASeq/snRNA_Heart_counts_matrix.mtx,amap,pearson,0.240049607
../../DistanceBenchmarking/Real/FibroCardRNASeq/snRNA_Heart_counts_matrix.mtx,factoextra,pearson,0.456549816
../../DistanceBenchmarking/Real/FibroCardRNASeq/snRNA_Heart_counts_matrix.mtx,factoextra,pearson,3.802391548
../../DistanceBenchmarking/Real/FibroCardRNASeq/snRNA_Heart_counts_matrix.mtx,factoextra,pearson,34.90341554
../../DistanceBenchmarking/Real/FibroCardRNASeq/snRNA_Heart_counts_matrix.mtx,CPU,pearson,0.003411402
../../DistanceBenchmarking/Real/FibroCardRNASeq/snRNA_Heart_counts_matrix.mtx,CPU,pearson,0.393177277
../../DistanceBenchmarking/Real/FibroCardRNASeq/snRNA_Heart_counts_matrix.mtx,CPU,pearson,0.003411402
../../DistanceBenchmarking/Real/FibroCardRNASeq/snRNA_Heart_counts_matrix.mtx,CPU,pearson,0.393177277
